t	y
-0.000	-0.595
0.040	7.511
0.080	7.681
0.120	7.917
0.160	38.642
0.200	38.471
0.240	42.188
0.280	42.188
0.320	42.188
0.360	43.068
0.400	42.721
0.440	47.450
0.480	47.109
0.520	48.166
0.560	45.572
0.600	45.920
0.640	48.026
0.680	48.026
0.720	49.667
0.760	49.667
0.800	53.923
0.840	52.940
0.880	52.474
0.920	51.247
0.960	50.722
1.000	50.079
1.040	52.030
1.080	51.741
1.120	52.089
1.160	51.919
1.200	53.678
1.240	50.027
1.280	49.510
1.320	49.162
1.360	50.862
1.400	50.862
1.440	50.692
1.480	50.522
1.520	47.100
1.560	45.452
1.600	44.809
1.640	32.461
1.680	32.409
1.720	32.409
1.760	30.939
1.800	30.702
1.840	6.274
1.880	5.927
1.920	-0.443
