t	y
-0.000	-0.080
0.040	13.417
0.080	13.417
0.120	13.417
0.160	47.851
0.200	47.333
0.240	51.826
0.280	51.478
0.320	51.478
0.360	51.308
0.400	51.833
0.440	54.952
0.480	54.952
0.520	55.727
0.560	56.548
0.600	56.548
0.640	58.314
0.680	58.485
0.720	59.430
0.760	59.378
0.800	61.454
0.840	61.750
0.880	62.208
0.920	60.745
0.960	60.279
1.000	59.643
1.040	60.345
1.080	60.515
1.120	60.626
1.160	60.456
1.200	60.109
1.240	57.567
1.280	57.567
1.320	57.567
1.360	58.676
1.400	58.676
1.440	56.555
1.480	56.555
1.520	55.025
1.560	53.436
1.600	53.436
1.640	42.500
1.680	42.500
1.720	43.203
1.760	35.045
1.800	35.104
1.840	14.119
1.880	14.119
1.920	3.263
1.960	2.509
2.000	2.162
2.040	1.505
2.080	0.550
2.120	5.612
2.160	5.271
2.200	-0.588
