Freq. (Hz)	Attack (ms)	Sustain (ms)	Release (ms)	Start Time (ms)	On Curve	Off Curve	Int. (+)	MIDI (#)
440	5	490	5	0	0	0	1	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
440	5	490	5	0	0	0	0	69
