t	y
-0.000	-0.392
0.040	8.416
0.080	8.593
0.120	8.593
0.160	44.193
0.200	44.489
0.240	46.899
0.280	46.558
0.320	44.023
0.360	46.499
0.400	46.499
0.440	45.567
0.480	45.567
0.520	46.565
0.560	48.944
0.600	48.530
0.640	49.528
0.680	49.698
0.720	50.511
0.760	50.681
0.800	52.788
0.840	56.515
0.880	56.515
0.920	56.515
0.960	55.215
1.000	55.562
1.040	53.382
1.080	53.560
1.120	50.027
1.160	50.027
1.200	52.791
1.240	44.766
1.280	44.766
1.320	44.005
1.360	46.658
1.400	46.828
1.440	46.067
1.480	46.067
1.520	42.645
1.560	41.706
1.600	41.700
1.640	25.843
1.680	25.133
1.720	31.333
1.760	20.515
1.800	20.582
1.840	18.971
1.880	19.629
1.920	7.570
1.960	4.148
2.000	3.210
2.040	0.977
2.080	1.798
2.120	-0.211
