t	y
-0.000	-0.194
0.040	11.104
0.080	11.570
0.120	11.274
0.160	39.109
0.200	39.575
0.240	51.470
0.280	51.470
0.320	53.178
0.360	55.188
0.400	54.795
0.440	59.812
0.480	60.108
0.520	62.400
0.560	62.747
0.600	62.917
0.640	64.447
0.680	64.565
0.720	65.386
0.760	65.386
0.800	67.034
0.840	66.864
0.880	66.864
0.920	65.393
0.960	64.041
1.000	64.158
1.040	64.218
1.080	63.745
1.120	63.397
1.160	64.158
1.200	64.632
1.240	63.752
1.280	63.634
1.320	62.932
1.360	62.348
1.400	62.178
1.440	61.172
1.480	61.172
1.520	60.175
1.560	58.586
1.600	58.586
1.640	53.746
1.680	53.161
1.720	52.578
1.760	46.615
1.800	46.732
1.840	19.089
1.880	19.850
1.920	12.778
1.960	12.608
2.000	12.719
2.040	4.746
2.080	5.382
2.120	4.509
2.160	3.800
2.200	-0.264
