t	y
-0.000	-1.308
0.040	13.130
0.080	13.130
0.120	13.707
0.160	44.712
0.200	44.542
0.240	56.713
0.280	56.017
0.320	57.015
0.360	58.937
0.400	58.937
0.440	61.650
0.480	62.122
0.520	63.712
0.560	64.525
0.600	64.695
0.640	66.047
0.680	66.218
0.720	66.801
0.760	67.149
0.800	67.615
0.840	68.435
0.880	67.785
0.920	67.903
0.960	67.555
1.000	67.385
1.040	68.199
1.080	68.199
1.120	67.438
1.160	67.438
1.200	67.438
1.240	65.789
1.280	65.789
1.320	65.730
1.360	64.969
1.400	65.257
1.440	64.319
1.480	64.319
1.520	63.853
1.560	62.501
1.600	62.331
1.640	58.029
1.680	57.681
1.720	57.511
1.760	51.659
1.800	51.667
1.840	36.955
1.880	37.243
1.920	34.486
1.960	31.833
2.000	31.781
2.040	15.828
2.080	16.249
2.120	9.983
2.160	9.635
2.200	14.747
2.240	12.449
2.280	11.865
2.320	8.089
2.360	7.195
2.400	6.256
2.440	-0.239
