t	y
-0.000	-0.612
0.040	0.914
0.080	16.419
0.120	16.352
0.160	23.264
0.200	23.264
0.240	27.445
0.280	29.454
0.320	31.028
0.360	31.184
0.400	30.435
0.440	30.278
0.480	32.226
0.520	33.806
0.560	34.078
0.600	35.100
0.640	34.943
0.680	34.603
0.720	34.494
0.760	35.093
0.800	35.475
0.840	35.209
0.880	35.802
0.920	35.802
0.960	36.122
1.000	36.388
1.040	36.926
1.080	36.926
1.120	36.926
1.160	37.355
1.200	36.436
1.240	37.846
1.280	36.490
1.320	36.490
1.360	37.246
1.400	37.246
1.440	36.374
1.480	36.804
1.520	36.804
1.560	36.804
1.600	36.804
1.640	37.553
1.680	37.553
1.720	38.255
1.760	38.255
1.800	36.464
1.840	36.464
1.880	36.198
1.920	36.314
1.960	35.019
2.000	33.507
2.040	32.424
2.080	30.912
2.120	30.755
2.160	28.480
2.200	25.491
2.240	9.181
2.280	-0.557
