t	y
0.000	-0.510
0.040	16.840
0.080	21.893
0.120	21.716
0.160	41.050
0.200	41.050
0.240	43.931
0.280	46.260
0.320	46.260
0.360	46.581
0.400	47.167
0.440	47.324
0.480	46.846
0.520	46.846
0.560	47.003
0.600	46.260
0.640	46.417
0.680	45.824
0.720	45.824
0.760	44.136
0.800	43.386
0.840	41.486
0.880	40.294
0.920	40.356
0.960	39.443
1.000	38.516
1.040	38.837
1.080	39.538
1.120	40.131
1.160	39.974
1.200	42.371
1.240	43.291
1.280	43.291
1.320	43.931
1.360	45.505
1.400	46.328
1.440	46.062
1.480	47.581
1.520	47.581
1.560	47.152
1.600	46.995
1.640	46.402
1.680	48.084
1.720	47.274
1.760	47.274
1.800	46.130
1.840	46.130
1.880	45.592
1.920	45.435
1.960	44.957
2.000	44.957
2.040	44.528
2.080	44.848
2.120	44.691
2.160	44.535
2.200	43.180
2.240	24.119
2.280	25.959
2.320	25.959
2.360	-0.661
