t	y
0.000	-0.294
0.040	23.582
0.080	55.258
0.120	55.102
0.160	67.516
0.200	67.516
0.240	67.516
0.280	68.211
0.320	68.211
0.360	68.211
0.400	68.640
0.440	68.047
0.480	68.047
0.520	68.204
0.560	67.721
0.600	68.259
0.640	68.525
0.680	68.477
0.720	68.477
0.760	67.938
0.800	68.477
0.840	68.797
0.880	68.368
0.920	68.368
0.960	69.063
1.000	69.063
1.040	68.634
1.080	68.953
1.120	68.947
1.160	68.947
1.200	68.306
1.240	69.335
1.280	68.906
1.320	68.906
1.360	68.906
1.400	69.498
1.440	68.851
1.480	69.063
1.520	69.063
1.560	69.226
1.600	69.226
1.640	69.492
1.680	69.601
1.720	69.444
1.760	69.335
1.800	68.409
1.840	68.409
1.880	68.409
1.920	68.409
1.960	68.252
2.000	67.550
2.040	67.230
2.080	67.496
2.120	67.496
2.160	67.509
2.200	68.115
2.240	69.253
2.280	70.226
2.320	69.865
2.360	30.104
2.400	28.313
2.440	-0.206
