t	y
0.000	-0.676
0.040	15.637
0.080	34.281
0.120	34.281
0.160	49.290
0.200	49.290
0.240	52.946
0.280	53.266
0.320	53.587
0.360	53.049
0.400	53.049
0.440	54.574
0.480	54.574
0.520	54.574
0.560	55.929
0.600	56.243
0.640	57.871
0.680	58.089
0.720	58.258
0.760	58.954
0.800	59.268
0.840	59.268
0.880	59.431
0.920	59.751
0.960	59.213
1.000	59.703
1.040	60.187
1.080	60.773
1.120	60.773
1.160	60.459
1.200	61.978
1.240	61.440
1.280	61.440
1.320	61.440
1.360	63.013
1.400	62.372
1.440	63.564
1.480	63.994
1.520	63.994
1.560	62.754
1.600	63.407
1.640	63.141
1.680	62.331
1.720	63.952
1.760	63.475
1.800	64.218
1.840	63.843
1.880	63.196
1.920	63.360
1.960	62.283
2.000	62.283
2.040	62.658
2.080	62.277
2.120	62.277
2.160	61.017
2.200	59.662
2.240	57.646
2.280	53.567
2.320	53.301
2.360	9.963
2.400	-0.653
