t	y
0.000	-0.684
0.040	2.305
0.080	20.141
0.120	20.141
0.160	29.122
0.200	30.097
0.240	30.526
0.280	31.881
0.320	33.291
0.360	33.182
0.400	33.182
0.440	31.820
0.480	31.820
0.520	32.413
0.560	30.730
0.600	32.753
0.640	29.872
0.680	28.891
0.720	28.463
0.760	27.761
0.800	28.463
0.840	30.683
0.880	29.709
0.920	29.866
0.960	32.140
1.000	32.720
1.040	31.855
1.080	32.672
1.120	32.672
1.160	33.537
1.200	29.935
1.240	33.489
1.280	33.265
1.320	33.265
1.360	30.439
1.400	32.733
1.440	27.789
1.480	27.632
1.520	27.475
1.560	30.948
1.600	30.792
1.640	33.237
1.680	34.319
1.720	34.476
1.760	34.156
1.800	23.921
1.840	23.117
1.880	30.641
1.920	30.641
1.960	30.914
2.000	27.652
2.040	26.181
2.080	30.744
2.120	30.042
2.160	31.465
2.200	33.202
2.240	17.853
2.280	12.139
2.320	11.873
2.360	-0.595
