t	y
0.000	-0.425
0.040	1.929
0.080	10.856
0.120	11.436
0.160	22.679
0.200	22.522
0.240	17.687
0.280	12.989
0.320	12.989
0.360	9.945
0.400	17.245
0.440	19.568
0.480	20.548
0.520	20.978
0.560	23.640
0.600	20.202
0.640	24.553
0.680	24.553
0.720	25.364
0.760	26.713
0.800	26.713
0.840	25.902
0.880	27.530
0.920	28.667
0.960	27.312
1.000	30.029
1.040	31.330
1.080	32.195
1.120	33.387
1.160	30.070
1.200	36.935
1.240	31.766
1.280	32.358
1.320	32.515
1.360	34.579
1.400	34.137
1.440	37.276
1.480	38.142
1.520	38.142
1.560	34.069
1.600	33.566
1.640	30.896
1.680	29.262
1.720	30.345
1.760	30.345
1.800	31.591
1.840	30.412
1.880	27.423
1.920	27.423
1.960	26.007
2.000	25.346
2.040	26.375
2.080	23.187
2.120	23.344
2.160	22.642
2.200	15.567
2.240	11.222
2.280	8.335
2.320	9.043
2.360	-0.320
